side,entry_time,exit_time,entry_price,exit_price,exit_reason,return_pct,equity_mult
short,2026-05-22 00:00:00+00:00,2026-05-22 01:45:00+00:00,77507.8,77592.7,TREND_FLIP,-0.001895373626912313,0.9981046263730877
long,2026-05-22 01:45:00+00:00,2026-05-22 04:40:00+00:00,77592.7,77651.9,TREND_FLIP,-3.704162891615974e-05,0.9980676549518981
short,2026-05-22 05:55:00+00:00,2026-05-22 11:45:00+00:00,77450.0,77371.2,TREND_FLIP,0.00021743060038738424,0.9982846654013416
short,2026-05-22 13:20:00+00:00,2026-05-22 14:15:00+00:00,77364.7,76900.5118,TP,0.0052000000000000535,1.0034757456614287
short,2026-05-22 15:35:00+00:00,2026-05-22 16:20:00+00:00,76676.8,76906.83039999999,SL,-0.003799999999999853,0.9996625378279155
short,2026-05-22 17:15:00+00:00,2026-05-22 17:25:00+00:00,76800.7,77031.10209999999,SL,-0.0037999999999998968,0.9958638201841695
short,2026-05-22 17:45:00+00:00,2026-05-22 18:45:00+00:00,76767.6,76306.99440000001,TP,0.005199999999999938,1.001042312049127
short,2026-05-22 20:55:00+00:00,2026-05-22 23:45:00+00:00,75939.4,75483.76359999999,TP,0.0052000000000000405,1.0062477320717824
short,2026-05-22 23:45:00+00:00,2026-05-23 03:00:00+00:00,75459.9,75570.6,TREND_FLIP,-0.002267004329451956,1.0039665641066744
short,2026-05-23 04:15:00+00:00,2026-05-23 04:30:00+00:00,75543.2,75597.9,TREND_FLIP,-0.0015240889980831776,1.002436429711876
short,2026-05-23 04:35:00+00:00,2026-05-23 07:45:00+00:00,75488.7,75035.7678,TP,0.0051999999999999425,1.0076490991463776
short,2026-05-23 09:35:00+00:00,2026-05-23 11:25:00+00:00,74652.6,74820.9,TREND_FLIP,-0.003054442578021239,1.00457129283424
short,2026-05-23 12:00:00+00:00,2026-05-23 13:00:00+00:00,74732.0,74915.1,TREND_FLIP,-0.0032500883155810872,1.0013063474132313
long,2026-05-23 15:40:00+00:00,2026-05-23 18:30:00+00:00,75468.8,75921.6128,TP,0.005199999999999995,1.0065131404197802
long,2026-05-23 20:35:00+00:00,2026-05-23 20:55:00+00:00,76711.8,77172.0708,TP,0.005199999999999979,1.011747008749963
long,2026-05-23 21:35:00+00:00,2026-05-23 22:30:00+00:00,76678.8,76448.7636,SL,-0.0037999999999999636,1.0079023701167131
long,2026-05-23 23:05:00+00:00,2026-05-24 02:20:00+00:00,76695.7,76705.7,TREND_FLIP,-0.0006696145937777477,1.0072274639805798
long,2026-05-24 02:40:00+00:00,2026-05-24 03:40:00+00:00,76800.0,76724.3,TREND_FLIP,-0.0017856770833332954,1.0054288809804457
long,2026-05-24 04:10:00+00:00,2026-05-24 04:20:00+00:00,76806.4,76750.4,TREND_FLIP,-0.0015291059078410133,1.0038914737386244
long,2026-05-24 05:45:00+00:00,2026-05-24 06:20:00+00:00,76752.4,76718.4,TREND_FLIP,-0.0012429828904373023,1.0026436538129113
long,2026-05-24 06:40:00+00:00,2026-05-24 07:45:00+00:00,76780.8,76775.1,TREND_FLIP,-0.000874237309327294,1.0017671053227877
long,2026-05-24 08:20:00+00:00,2026-05-24 08:25:00+00:00,76795.5,76780.6,TREND_FLIP,-0.0009940217851305633,1.0007713269964698
long,2026-05-24 08:35:00+00:00,2026-05-24 08:40:00+00:00,76787.8,76770.1,TREND_FLIP,-0.0010305053667379075,0.9997400267731225
