t,year,dir,netpct,R,eq
2020-01-01 02:30:00+00:00,2020,1,-1.3142503433082853,-0.6571251716541426,9934.287482834587
2020-01-02 03:30:00+00:00,2020,-1,2.92,1.46,10079.328080083971
2020-01-03 04:30:00+00:00,2020,1,2.92,1.46,10226.486270053196
2020-01-09 09:45:00+00:00,2020,-1,-2.08,-1.04,10120.130812844644
2020-01-10 15:00:00+00:00,2020,1,2.92,1.46,10267.884722712175
2020-01-19 11:00:00+00:00,2020,-1,-1.602983861658167,-0.8014919308290835,10185.588455192805
2020-01-22 07:15:00+00:00,2020,1,-2.08,-1.04,10079.6583352588
2020-01-23 01:30:00+00:00,2020,-1,2.92,1.46,10226.821346953579
2020-01-26 08:15:00+00:00,2020,1,2.92,1.46,10376.132938619101
2020-02-02 02:00:00+00:00,2020,-1,-2.08,-1.04,10268.221156057463
2020-02-03 01:30:00+00:00,2020,1,-2.08,-1.04,10161.431656034467
2020-02-03 15:45:00+00:00,2020,-1,-1.1074518590652538,-0.5537259295326269,10105.165174143267
2020-02-05 10:30:00+00:00,2020,1,2.92,1.46,10252.700585685758
2020-02-10 05:45:00+00:00,2020,-1,-1.7557462482004826,-0.8778731241002413,10162.694882749554
2020-02-11 15:15:00+00:00,2020,1,2.92,1.46,10311.070228037697
2020-02-15 15:45:00+00:00,2020,-1,2.92,1.46,10461.611853367047
2020-02-18 16:45:00+00:00,2020,1,2.92,1.46,10614.351386426206
2020-02-19 21:45:00+00:00,2020,-1,-1.918305252880046,-0.959152626440023,10512.543556323726
2020-02-23 03:45:00+00:00,2020,1,-2.08,-1.04,10403.21310333796
2020-02-24 07:00:00+00:00,2020,-1,2.92,1.46,10555.100014646692
2020-03-02 10:15:00+00:00,2020,1,2.92,1.46,10709.204474860533
2020-03-07 17:00:00+00:00,2020,-1,2.92,1.46,10865.558860193496
2020-03-15 21:45:00+00:00,2020,1,-2.08,-1.04,10752.557048047483
2020-03-16 06:00:00+00:00,2020,-1,2.92,1.46,10909.544380948977
2020-03-19 09:15:00+00:00,2020,1,2.92,1.46,11068.823728910831
2020-03-22 19:45:00+00:00,2020,-1,-2.08,-1.04,10953.707962130158
2020-03-23 12:30:00+00:00,2020,1,2.92,1.46,11113.632098377258
2020-03-27 23:30:00+00:00,2020,-1,2.92,1.46,11275.891127013565
2020-03-30 07:00:00+00:00,2020,1,2.92,1.46,11440.519137467962
2020-04-01 12:00:00+00:00,2020,-1,-2.08,-1.04,11321.537738438295
2020-04-01 22:15:00+00:00,2020,1,2.92,1.46,11486.832189419494
2020-04-10 03:45:00+00:00,2020,-1,2.92,1.46,11654.539939385018
2020-04-12 15:00:00+00:00,2020,1,-2.08,-1.04,11533.332724015414
2020-04-13 00:00:00+00:00,2020,-1,2.92,1.46,11701.719381786039
2020-04-14 16:30:00+00:00,2020,1,-2.08,-1.04,11580.021500215464
2020-04-15 12:00:00+00:00,2020,-1,2.92,1.46,11749.089814118608
2020-04-16 07:00:00+00:00,2020,1,2.92,1.46,11920.62652540474
2020-04-20 10:30:00+00:00,2020,-1,2.92,1.46,12094.667672675649
2020-04-22 13:15:00+00:00,2020,1,2.92,1.46,12271.249820696712
