setup,side,filter,tp,sl,ts,n_is,exp_is,win_is,n_oos,exp_oos,win_oos,pf_oos
pocket,cont,sweep,3.0,3.0,288,89,0.0819236006256108,59.55056179775281,62,0.11700503488002972,62.903225806451616,1.592167415690342
pocket,cont,posHigh,4.0,3.0,96,543,0.07385049487168856,44.751381215469614,370,-0.09567567418543678,40.81081081081081,0.7263896030841095
flip,cont,noBOS,4.0,3.0,96,131,0.07179862873662068,45.038167938931295,80,0.18619069570770688,58.75,1.7901094775949824
flip,cont,noBOS,4.0,3.0,288,131,0.06797475735503522,45.038167938931295,80,0.2005016547433076,58.75,1.8364428733231533
pocket,cont,sweep,3.0,3.0,96,89,0.059543297475926626,58.42696629213483,62,0.12449029064580724,62.903225806451616,1.654858752659923
pocket,cont,posHigh,3.0,3.0,96,543,0.05914719182753304,51.93370165745856,370,-0.07995425869632142,48.37837837837838,0.741366596909569
pocket,cont,sweep,4.0,3.0,288,89,0.05876403061786635,49.43820224719101,62,0.06849248937971357,50.0,1.2558973031550265
pocket,cont,posHigh,3.0,3.0,288,543,0.0520233218908048,52.117863720073665,370,-0.07720052527530483,49.18918918918919,0.757627278840525
pocket,cont,sweep,2.0,3.0,288,89,0.05152288052165066,68.53932584269663,62,0.04881223813698378,69.35483870967742,1.2905975073316196
pocket,cont,posHigh,4.0,3.0,288,543,0.04816572596406989,43.462246777163905,370,-0.08993752468284166,41.891891891891895,0.7517236896549405
pocket,cont,sweep,2.0,3.0,96,89,0.04698253057088639,67.41573033707866,62,0.05629749390276132,69.35483870967742,1.350792221839056
pocket,cont,sweep,4.0,3.0,96,89,0.04697646444801335,51.68539325842697,62,0.07210629472099371,51.61290322580645,1.296975954395505
pocket,cont,posHigh,3.0,2.0,96,543,0.044833717244779296,43.0939226519337,370,-0.08898984662493324,37.83783783783784,0.6666696045176436
pocket,cont,posHigh,3.0,2.0,288,543,0.04418867148819227,43.0939226519337,370,-0.08569555292009727,38.648648648648646,0.6784346451564844
pocket,cont,posHigh,3.0,3.0,24,543,0.0412709967641949,51.19705340699816,370,-0.07846300618010779,46.75675675675676,0.6857486583072956
pocket,cont,posHigh,3.0,1.5,96,543,0.038634634124563666,37.569060773480665,370,-0.07413120185938747,31.351351351351354,0.6694818885215591
pocket,cont,posHigh,3.0,1.5,288,543,0.03805500567554586,37.569060773480665,370,-0.07083690815455149,32.16216216216216,0.6834966873496297
pocket,cont,sweep,2.0,2.0,288,89,0.03590909597376761,57.30337078651685,62,-0.03408104743949172,53.2258064516129,0.8205485382214036
pocket,cont,sweep,2.0,2.0,96,89,0.03590909597376761,57.30337078651685,62,-0.030330252832174717,53.2258064516129,0.8370805070676346
flip,cont,noBOS,2.0,3.0,24,131,0.03286737513217799,57.25190839694656,80,0.06478756170594066,67.5,1.450579702302649
pocket,cont,posHigh,2.0,1.5,288,543,0.03199037405635205,46.77716390423573,370,-0.07408033017252935,41.351351351351354,0.6255430607091089
pocket,cont,posHigh,2.0,1.5,96,543,0.03199037405635205,46.77716390423573,370,-0.07408033017252935,41.351351351351354,0.6255430607091089
pocket,cont,structAgainst,3.0,1.5,288,493,0.03143542054770982,35.902636916835704,337,-0.056339546103584985,32.34421364985163,0.7359790483552683
pocket,cont,structAgainst,3.0,1.5,96,493,0.03143542054770982,35.902636916835704,337,-0.058775360502420305,31.750741839762615,0.7239184784308745
flip,cont,noBOS,2.0,3.0,96,131,0.031309582996258,60.30534351145038,80,0.09294390068215723,73.75,1.5840773930087855
flip,cont,noBOS,2.0,3.0,288,131,0.031309582996258,60.30534351145038,80,0.09294390068215723,73.75,1.5840773930087855
pocket,cont,posHigh,2.0,3.0,24,543,0.0310274335033151,56.353591160220994,370,-0.08006244779361849,53.51351351351351,0.6459439447649534
pocket,cont,posHigh,4.0,2.0,96,543,0.028871004374627314,35.91160220994475,370,-0.10436157325168663,30.810810810810814,0.6467684762777155
pocket,cont,posHigh,2.0,3.0,96,543,0.028063534194044035,60.773480662983424,370,-0.0820703369829085,59.189189189189186,0.6874650190195828
pocket,cont,posHigh,2.0,2.0,96,543,0.0280096201354046,51.93370165745856,370,-0.09253431465872962,47.83783783783784,0.6037564253273789
pocket,cont,posHigh,2.0,2.0,288,543,0.0280096201354046,51.93370165745856,370,-0.09253431465872962,47.83783783783784,0.6037564253273789
pocket,cont,posHigh,2.0,1.5,24,543,0.025652589301080754,46.96132596685083,370,-0.07285842082818089,41.351351351351354,0.6108305755524889
pocket,cont,posHigh,4.0,2.0,288,543,0.025570375908343372,34.99079189686925,370,-0.10432543073851751,30.810810810810814,0.6490715005316964
pocket,cont,structAgainst,3.0,1.5,24,493,0.025273563946801744,40.16227180527384,337,-0.06176172470257064,35.90504451038576,0.6795834279960379
pocket,cont,sweep,2.0,3.0,24,89,0.02336324279632715,59.55056179775281,62,0.014383142230979536,62.903225806451616,1.0933114045691943
flip,fade,sweep,1.0,3.0,24,111,0.023092340007788755,77.47747747747748,83,-0.07132071874957707,71.08433734939759,0.543995708071611
flip,fade,sweep,2.0,3.0,288,111,0.022970190697510714,62.16216216216216,83,-0.03564579784897191,63.85542168674698,0.8304841781774857
flip,fade,sweep,2.0,3.0,96,111,0.022970190697510714,62.16216216216216,83,-0.040201625037964546,62.65060240963856,0.8107637223716163
pocket,cont,posHigh,2.0,3.0,288,543,0.022871053989808307,60.773480662983424,370,-0.08332661425040898,59.189189189189186,0.686737943382533
pocket,cont,posHigh,2.0,2.0,24,543,0.020616680610002134,51.38121546961326,370,-0.0874468451378148,47.02702702702703,0.5907155202861534
pocket,cont,structAgainst,3.0,2.0,96,493,0.0180386790763889,41.98782961460446,337,-0.07501716029919002,37.0919881305638,0.7045637590970979
pocket,cont,noBOS,4.0,3.0,288,1671,0.01788462535695814,44.40454817474566,1162,-0.0411829698247722,42.77108433734939,0.8752613202673267
pocket,cont,posHigh,3.0,1.5,24,543,0.017883086380504804,40.88397790055249,370,-0.07258950307619075,34.5945945945946,0.6438495920592339
flip,fade,sweep,1.0,3.0,96,111,0.017628042320194236,76.57657657657657,83,-0.07544351666088961,72.28915662650603,0.5334026526578975
flip,fade,sweep,1.0,3.0,288,111,0.017628042320194236,76.57657657657657,83,-0.07544351666088961,72.28915662650603,0.5334026526578975
pocket,cont,structAgainst,3.0,2.0,288,493,0.0173957703088468,41.784989858012175,337,-0.07259085784607074,37.68545994065282,0.714690642591367
pocket,cont,ALL,4.0,3.0,288,1673,0.01734373349878315,44.35146443514644,1166,-0.042099043731930234,42.710120068610635,0.8726584613262581
pocket,cont,structAgainst,3.0,1.0,96,493,0.01649131077506857,27.38336713995943,337,-0.041458478646567404,24.629080118694365,0.7497106065907861
pocket,cont,structAgainst,3.0,1.0,288,493,0.01649131077506857,27.38336713995943,337,-0.04183947032985178,24.629080118694365,0.7483634381722788
pocket,cont,bigDisp,4.0,3.0,96,1215,0.015895601395896946,45.267489711934154,887,-0.04774797870462042,42.27733934611049,0.8524799297214523
flip,fade,structAgainst,3.0,3.0,288,331,0.015593649787722591,52.26586102719033,227,-0.06483119894697972,48.458149779735685,0.788940684810882
pocket,cont,noSweep,4.0,3.0,288,1584,0.015016456703582148,44.06565656565656,1104,-0.048309800120446465,42.30072463768116,0.8554180233477465
pocket,cont,posHigh,1.0,3.0,288,543,0.014940396240327962,76.42725598526704,370,-0.027911331840759078,77.02702702702703,0.8002664998894039
flip,fade,sweep,2.0,3.0,24,111,0.01471632420892574,61.261261261261254,83,-0.04678524912928186,59.036144578313255,0.7651853114650644
pocket,cont,noBOS,4.0,3.0,96,1671,0.014566580624130595,45.062836624775585,1162,-0.04360420317989061,42.59896729776248,0.8625184597881596
pocket,cont,posHigh,1.0,3.0,96,543,0.014464917603698993,76.42725598526704,370,-0.028351513639715456,76.75675675675676,0.7972229925464599
pocket,cont,ALL,4.0,3.0,96,1673,0.014367346366416471,45.068738792588164,1166,-0.04451197096919232,42.53859348198971,0.8598728327893562
pocket,cont,posHigh,4.0,1.5,96,543,0.013512376247359324,30.386740331491712,370,-0.08366756846991098,25.405405405405407,0.6561252571862677
flip,fade,structAgainst,3.0,3.0,96,331,0.013493910456213355,52.567975830815705,227,-0.0631476762212688,48.89867841409692,0.7910181256023895
pocket,cont,bigDisp,4.0,3.0,288,1215,0.012578050331836644,44.609053497942384,887,-0.0495755224206906,41.713641488162345,0.852427646296074
pocket,cont,noSweep,4.0,3.0,96,1584,0.012535142130771193,44.696969696969695,1104,-0.05106118516556147,42.028985507246375,0.8413548186484148
pocket,cont,noBOS,3.0,3.0,96,1671,0.01233271500241361,51.10712148414124,1162,-0.045519410685444205,48.88123924268503,0.8408360230829465
pocket,cont,ALL,3.0,3.0,96,1673,0.012139673600491003,51.10579796772265,1166,-0.04655937032393899,48.79931389365352,0.8375388142268402
pocket,cont,posHigh,3.0,2.0,24,543,0.0120484473850383,45.67219152854512,370,-0.08799869759871932,40.27027027027027,0.6217164513388101
pocket,cont,noBOS,3.0,3.0,288,1671,0.011824867095693522,51.526032315978455,1162,-0.045341146815128165,49.311531841652325,0.8450260620354296
pocket,cont,ALL,3.0,3.0,288,1673,0.011632432804239198,51.52420800956365,1166,-0.046381717993486817,49.22813036020583,0.8417800755763168
pocket,cont,structAlign,3.0,3.0,288,411,0.01114827285292516,49.87834549878345,323,-0.040480657298723424,50.15479876160991,0.8610427089941806
pocket,cont,structAgainst,3.0,2.0,24,493,0.011135121111618376,45.63894523326572,337,-0.07939793814126113,40.652818991097924,0.6404898070426281
pocket,cont,posHigh,4.0,1.5,288,543,0.009995292687537311,29.65009208103131,370,-0.08354223171123806,25.405405405405407,0.6590878428047142
pocket,cont,noSweep,3.0,3.0,96,1584,0.009476212410520192,50.69444444444444,1104,-0.05616542012477619,48.007246376811594,0.8076567583602092
pocket,cont,posHigh,1.0,3.0,24,543,0.009130823957775768,73.11233885819522,370,-0.03160614261913223,72.70270270270271,0.7672696089745085
pocket,cont,structAlign,4.0,3.0,96,411,0.008431191950936192,43.552311435523116,323,-0.012731228311022929,44.58204334365325,0.9586146566255153
pocket,cont,noSweep,3.0,3.0,288,1584,0.007682992188013142,51.07323232323232,1104,-0.05555742331790532,48.460144927536234,0.8138865188187556
pocket,cont,posHigh,3.0,1.0,288,543,0.007354991048790184,28.5451197053407,370,-0.05945548522822416,23.783783783783786,0.6605414442972835
pocket,cont,posHigh,3.0,1.0,96,543,0.007354991048790184,28.5451197053407,370,-0.060754279075830274,23.513513513513516,0.6533099072653753
pocket,cont,structAlign,1.0,3.0,24,411,0.0073509959543489566,74.20924574209245,323,-0.03405938199679841,73.37461300309597,0.752756229156402
flip,fade,sweep,3.0,3.0,288,111,0.0065400590313158535,52.25225225225225,83,-0.03210213826434427,55.42168674698795,0.8774380616393215
flip,fade,structAgainst,3.0,3.0,24,331,0.006445402032644294,52.567975830815705,227,-0.05924197087734878,49.33920704845815,0.7774251214178097
pocket,cont,bigDisp,3.0,3.0,96,1215,0.004920291329962863,51.193415637860085,887,-0.051310544366789015,48.47801578354002,0.8244697045823977
